Species;Isolate ID;Host;LOC;Site;Latitud ;Longitud
Pyricularia oryzae;P14ATae039;Triticum aestivum;Alto Paraná;AP;-25.6076583;-54.96118333
Pyricularia oryzae;BrTae;Triticum aestivum;Canindeyú Yhovy;CY;-24.298696;-54.988547
Pyricularia oryzae;CTae005;Triticum aestivum;Canindeyú Yhovy;CY;-24.298696;-54.988547
Pyricularia oryzae;P14YTae025;Triticum aestivum;Canindeyú Yhovy;CY;-24.298696;-54.988547
Pyricularia oryzae;P14YTae028;Triticum aestivum;Canindeyú Yhovy;CY;-24.298696;-54.988547
Pyricularia oryzae;YEih113;Eleusine indica;Canindeyú Yhovy;CY;-24.298696;-54.988547
Pyricularia oryzae;SLSsh051;Stenothaphrum secundatum;Central San Lorenzo;CS;-25.35416;-57.61959
Pyricularia oryzae;IRrh54;Rynchelyntrum roseum;Cordillera Caacupe;CC;-25.385874;-57.141359
Pyricularia oryzae;IAsh016;Avena strigosa;Cordillera Caacupe;CC;-25.385874;-57.141359
Pyricularia oryzae;IAsh017;Avena strigosa;Cordillera Caacupe;CC;-25.385874;-57.141359
Pyricularia oryzae;CTae009;Triticum aestivum;Itapúa Capitan Miranda;IC;-27.214692;-55.796664
Pyricularia oryzae;CBch004;Bromus catharticus;Itapúa Capitan Miranda;IC;-27.214692;-55.796664
Pyricularia oryzae;CLmi007;Lolium multiflorum;Itapúa Capitan Miranda;IC;-27.214692;-55.796664
Pyricularia oryzae;P15ITTae101;Triticum aestivum;Itapua Tomas Romero Pereira;IT;-26.4831861;-55.25000833
Pyricularia oryzae;GTae019;Triticum aestivum;San Pedro Guayaibi;SP;-24.525345;-56.407387
Pyricularia oryzae;GTae021;Triticum aestivum;San Pedro Guayaibi;SP;-24.525345;-56.407387
Pyricularia grisea;ITDsph107;Digitaria sp.;Itapúa Pirapo;IP;-26.8552667;-55.54135833
Pyricularia grisea;YDih056;Digitaria insularis;Canindeyú Yhovy;CY;-24.298696;-54.988547
Pyricularia grisea;YDhh012;Digitaria horizontalis;Canindeyú Yhovy;CY;-24.298696;-54.988547
Pyricularia grisea;YDhh014;Digitaria horizontalis;Itapúa Capitan Miranda;IC;-27.214692;-55.796664
Pyricularia grisea;YDhh105;Digitaria horizontalis;Canindeyú Yhovy;CY;-24.298696;-54.988547
Pyricularia grisea;YBsph44;Brachiaria sp.;Canindeyú Yhovy;CY;-24.298696;-54.988547
Pyricularia pennisetigena;YCeh55;Cenchrus echinatus;Canindeyú Yhovy;CY;-24.298696;-54.988547
Pyricularia pennisetigena;ITCeh117;Cenchrus echinatus;Itapúa Capitan Miranda;IC;-27.214692;-55.796664
